,year,number,text,is_short_answer,figure_paths
10,1390,11,"A solid in the shape of a rectangular prism with a base of $6 \times 4$ and a height of 3 is placed. Point $A$ is located on base on an edge with lenght 6. The solid is rotated around the opposite edge of where A is, for a complete turn. How much distance does point $A$ travel in space in the same direction? 
(a) $3\pi$ \quad (b) $4\pi$ \quad (c) $6\pi$ \quad (d) $8\pi$ \quad (e) $12\pi$",True,[]
11,1390,12,"Consider the three sets $A$, $B$, and $C$. Which option represents the set of elements that belong to at least two of these three sets?

a) $(A \cup B \cup C) - (A \cap B \cap C)$

b) $A \cup B \cup C \cup (A \cap B \cap C)$

c) $(A \cap B) \cup (B \cap C) \cup (A \cap C)$

d) $(A \cup B) \cap (B \cup C) \cap (A \cup C)$

e) Both options c and d are correct.",True,[]
12,1390,13,"In how many ways can the set $\{1, 2, \ldots, 30\}$ be divided into two parts such that the product of the elements in one part is equal to the product of the elements in the other part? 

A) This is not possible. 

B) Between 1 and 10 ways. 

C) Between 11 and 100 ways. 

D) More than 100 ways.

E) More than 1000 ways.",True,[]
13,1390,14,"In the isosceles right triangle $ABC$ with the right angle at vertex $A$ and leg length $10$, point $D$ is chosen so that $A$ is a point inside the triangle $BCD$. Lines $BD$ and $CD$ are drawn to intersect the inner bisectors of $B\hat{A}D$ and $C\hat{A}D$ at points $E$ and $F$, respectively. If the centroid of triangle $BCD$ lies on segment $EF$, what is the length of segment $AD$? 

(a) $10$ \quad (b) $15$ \quad (c) $20$ \quad (d) $30$ \quad (e) It depends on the location of $D$",True,[]
14,1390,15,"Consider the polynomial $x^4 - x^2 - 2x - 1$. What is the shape of the set of $x$ values for which this polynomial is non-negative? 

(a) A line segment 

(b) Two line segments 

(c) A ray and a line segment
 
(d) A line segment and two rays 

(e) Two rays",True,[]
15,1390,16,"In how many ways can two natural numbers $a$ and $b$ be chosen from the numbers 1 to 10 such that the fraction $\frac{a+b}{a-b}$ is a natural number? 

(A) 19 (B) 24 (C) 28 (D) 29 (E) 34",True,[]
16,1390,17,"Consider several wooden pieces of length 1 meter and $\sqrt{2}$ meter that are hinged together to form the four shapes below. How many of these shapes can freely rotate around the hinges in the plane such that the wooden pieces can change shape by moving the pieces?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1390/17.png}
    \caption{Caption}
    \label{fig:1390:17}
\end{figure}
\\
(A) None (B) 1 (C) 2 (D) 3 (E) 4",True,['figures/1390/17.png']
17,1390,18,"The set of points in the plane that have a representation in the form $(x^2 + y^2, xy)$  where $x$ and $y$ are real numbers, is which option? 
(a)\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1390/18-1.png}
    \caption{Caption}
    \label{fig:1390:18-1}
\end{figure}
\\
(b)\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1390/18-2.png}
    \caption{Caption}
    \label{fig:1390:18-2}
\end{figure}
\\
(c)\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1390/18-3.png}
    \caption{Caption}
    \label{fig:1390:18-3}
\end{figure}
\\
(d)\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1390/18-4.png}
    \caption{Caption}
    \label{fig:1390:18-4}
\end{figure}
\\
(e)\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1390/18-5.png}
    \caption{Caption}
    \label{fig:1390:18-5}
\end{figure}",True,"['figures/1390/18-1.png', 'figures/1390/18-2.png', 'figures/1390/18-3.png', 'figures/1390/18-4.png', 'figures/1390/18-5.png']"
18,1390,19,"A frog and a grasshopper are located 2 meters apart. The frog moves towards the grasshopper on the ground, either 25 cm or 50 cm per second. The grasshopper jumps in the air towards the frog, either 25 cm or 50 cm per second. If these two meet on the ground, the frog will eat the grasshopper. In how many possible ways can the grasshopper be eaten?

a) 8 \quad b) 17 \quad c) 18 \quad d) 24 \quad e) 23",True,[]
19,1390,20,"Suppose four lines are given in space such that two of them intersect, and except for those two, no other two lines among the four intersect or are parallel. What is the maximum number of lines that can exist intersecting all of these lines? 

(a) 1 
(b) 2 
(c) 3 
(d) Infinity.
(e) No line can intersect all four.",True,[]
20,1390,21,"What is the largest integer $a$ such that for any two real numbers $x$ and $y$ for which 
$xy^2 + 4x^2y + 5 = 0$ and $x > 0$, we will have $ax > y$?

a) $-\sqrt[3]{80}$ b) $-4$ c) $0$ d) $4$ e) $\sqrt[3]{80}$",True,[]
21,1390,22,"In how many ways can three natural numbers $x$, $y$, and $z$ be chosen such that $x + y + 2z = xyz$?
 
(a) 7 (b) 4 (c) 2 (d) 1 (e) Impossible.",True,[]
22,1390,23,"chickens lay eggs, and the restaurant manager will arrange a weekly program such that each day only one of the Nimroo, half-boiled or omelet dishes is served, and no two consecutive days have the same dish. In how many ways is this possible? (Note that the day after Friday is Saturday!)

(A) 87 \quad (B) 84 \quad (C) 126 \quad (D) 168 \quad (E) 192",True,[]
23,1390,24,"How many ordered pairs $(x, y)$ of real numbers satisfy the system of equations:
\[
\begin{cases} 
x^2 + y = xy^2 \\
y^2 + x = yx^2 
\end{cases}
\]
(A) 1 \quad (B) 2 \quad (C) 3 \quad (D) 4 \quad (E) 5",True,[]
24,1390,25,"Consider a non-convex quadrilateral $ABCD$ that is not circumscribed; that is, there does not exist a circle that is tangent to all four sides. Consider circles that are tangent to three sides of this quadrilateral. How many such circles are there that are completely inside the quadrilateral? 
\\
(A) Depending on the quadrilateral, sometimes two, sometimes three, and sometimes four.  
(B) Sometimes two and sometimes three.  
(C) sometimes two and sometimes one.
(D) Always two.  
(E) Always one.
\\",True,[]
25,1391,1,"A statistician has conducted a census in Shakrestan. The relative frequency of the number of families is as follows:

\[
\begin{array}{c|c}
\text{Number of people living in the family} & \text{Percentage} \\
\hline
2 & 10 \\
3 & 30 \\
4 & 30 \\
5 & 10 \\
6 & 20 \\
\end{array}
\]

What percentage of people live in families with 2 members?",False,[]
26,1391,2,"What is the minimum value of $\frac{a^2}{b}$ in the set $$\{(a, b) | a, b \in \mathbb{R}, (a + 1)(b + 1) = ab, 0 \leq b\}$$?",False,[]
27,1391,3,"How many four-digit numbers are there with the digits 1, 2, 3, and 4, where no digits are repeated, and the sum of every two consecutive digits is divisible by 2 or 3 (or both)?",False,[]
28,1391,4,"In the isosceles trapezoid $ABCD$, the length of side $AB$ is $4$ and the lengths of the two legs $AD$ and $BC$ are equal to 2. The angle $\angle ABC$ is also equal to $120^\circ$. If $E$ is the intersection point of the two diagonals of the trapezoid, the ratio $\frac{BE}{DE}$ is equal to 

(1) $\frac{\sqrt{2}}{2}$ 
(2) $\sqrt{3} - 1$ 
(3) $\frac{\sqrt{3}}{3}$ 
(4) $\frac{5}{9}$ 
(5) $\frac{2}{3}$",True,[]
29,1391,5,"How many times must we stamp a square stamp with dimensions $1 \times 1, 2 \times 2, 3 \times 3, 4 \times 4$, and $5 \times 5$ on a map, such that the entire map is colored, if the side of the square is one unit?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/5.png}
    \caption{Caption}
    \label{fig:1391:5}
\end{figure}",False,['figures/1391/5.png']
30,1391,6,"How many ordered pairs $(x, y)$ of real numbers satisfy the following system of equations?
\[
\begin{cases} 
x^2y + xy^2 = 30 \\ 
xy + x + y = 11
\end{cases}
\]",False,[]
31,1391,7,"At the moment when the Omid satellite is at an altitude of 256 kilometers from the farthest point on the satellite to the Earth's surface, what is distance to the farthest point in earth that it could see? Consider the Earth as a sphere with a radius of 6370 kilometers.",False,[]
32,1391,8,"How many quadruples $(a, b, c, d)$ of natural numbers satisfy the following relations?
\begin{align*}
a^b &= cd, \\
b^c &= da, \\
c^d &= ab, \\
d^a &= bc.
\end{align*}
(1) 1
(2) 2
(3) 6
(4) 8 
(5) Infinity.",True,[]
33,1391,9,"In the figure shown, a piece is initially placed at square $S$. In each step, we can move it one square up, down, left, or right, without moving it out of the grid or into a black square. If we want to move the piece to square $E$ without passing through any square more than once, in how many different ways can this be done?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/9.png}
    \caption{Caption}
    \label{fig:1391:9}
\end{figure}",False,['figures/1391/9.png']
34,1391,10,What is the maximum number of natural numbers that can be chosen from $1$ to $1931$ such that the product of any two of them is a perfect square?,False,[]
35,1391,11,"For two natural numbers $a$ and $b$, the operation $\oplus$ is defined as follows: $a \oplus b = a^b$. The operation $\otimes$ is also defined as follows:
$$a \otimes b = (\cdots ((a\oplus a)\oplus a)\oplus \cdots \oplus a)$$
where $a$ appears $b$ times on the right side of the expression. In this case, $a \otimes b$ is equal to:

(1) $a^{a^{\cdot^{\cdot^{\cdot^{a}}}}}$

(2) $b^a$

(3) $a^{ab}$

(4) $a^{a^{b-1}}$

(5) $ab^{b^{a}}$",True,[]
36,1391,12,"In triangle $ABC$, the median from vertex $B$ and the vertex $C$ are perpendicular to each other. If the lengths of sides $AB$ and $AC$ are $19$ and $22$, respectively, what is the length of side $BC$?",False,[]
37,1391,13,"The Sultan of Sugarland intends to establish a five-city route between Sugarland and the northern world tours: Southern Saltland, Eastern Saltland, Western Saltland, and Back Saltland! (In the figure, Back Saltland is behind the globe!). Each city can only connect to the four nearby cities in a grid-like manner. In how many ways can a route be designed such that it starts and ends in Sugarland and passes through each of the other cities exactly once?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/13.png}
    \caption{Caption}
    \label{fig:1391:13}
\end{figure}\\
1) 16
2) 20
3) 32
4) 40
5) 48",True,['figures/1391/13.png']
38,1391,14,"A function $f: \mathbb{R} \to \mathbb{R}$ is called $n$-valued if its range is a set with $n$ elements. If $f$ and $g$ are $n$-valued and $m$-valued functions, respectively, then the functions $f \circ g$, $f \times g$, $f+g$ and  are at most how many valued?

(1) $\min(m, n)$, $mn$, and $mn$.

(2) $\max(m, n)$, $m+n$, and $mn$.

(3) $m+n$, $mn$, and $n^m$.

(4) $mn$, $mn$, and $m+n$.

(5) $mn$, $mn$, and $\max(m, n)$.",True,[]
39,1391,15,"In the right trapezoid $ABCD$, $\angle A = \angle D = 90^\circ$, and $M$ is the midpoint of side $BC$. Assume a circle with center $M$ and radius $MB$ intersects segment $AD$ at $X$ and $Y$. If the lengths of segments $AB = 1$, $BC = p$, $CD = q$, and $DA = r$, which of the following equations roots are the lengths of segments $AX$ and $AY$?

1) $x^2 + px + q = 0$

2) $x^2 - rx + q = 0$

3) $x^2 - px + q = 0$

4) $qx^2 + rx + p = 0$

5) $px^2 - qx + r = 0$",True,[]
40,1391,16,"What is the number of fractions of $\frac{1}{90}, \frac{2}{90}, \ldots, \frac{90}{90}$ which sum of the numerators and denominators of them are divisible by 3, after simplification?",False,[]
41,1391,17,"In a life game, each cell can contain any number of charges. Each hour, each charge is divided into four charges, and each is moved to one of the four adjacent cells. If initially there is only one charge, after six hours, how many charges will there be in the cell which have exactly one point common with the first cell? (Assume that the grid is such that each cell shares a vertex with the initial cell, and after one hour, there will be exactly one charge in each of the four adjacent cells to the starting cell.)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/17.png}
    \caption{Caption}
    \label{fig:1391:17}
\end{figure}",False,['figures/1391/17.png']
42,1391,18,"how many four-member subset of real numbers exist whose if we put the product of any two member of that in a set, that set will be $\{2, 8, 9, 32, 36, 144\}$?",False,[]
43,1391,19,"A function $f: \mathbb{N} \to \mathbb{N}$ is defined such that $f(1) = 1$ and for $n > 1$, if the prime factorization of $n$ is $n = p_1^{r_1} p_2^{r_2} \cdots p_k^{r_k}$, then $f(n) = r_1^{p_1} r_2^{p_2} \cdots r_k^{p_k}$. Which of the following is correct? (The $p_i$ are distinct prime numbers and the $r_i$ are natural numbers.)

        1) $f$ is surjective.
        2) $f$ is injective.
        3) If $a$ and $b$ are in the range of $f$, then $ab$ is in the range of $f$.
        4) For any two natural numbers $m$ and $n$, $f(m)f(n) \leq f(mn)$.
        5) For any two natural numbers $m$ and $n$, $f(m)f(n) \geq f(mn)$.",True,[]
44,1391,20,"A wheel with a radius of 10 meters is connected to the ground by an axle, allowing it to rotate freely around that axis. A rod of length 10 meters is attached tangentially to the wheel. If the wheel rotates $60^\circ$, what is the area of the region that the rod sweeps over (in square meters)?\\
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/20.png}
    \caption{Caption}
    \label{fig:1391:20}
\end{figure}\\
1) 20 \quad 2) 30 \quad 3) 40 \quad 4) 50 \quad 5) 60",True,['figures/1391/20.png']
45,1391,21,"Consider a sequence $\{a_n\}$ that starts with two real numbers $a_1$ and $a_2$, and the subsequent terms are determined by the relation $a_{n+2} = \text{max}\{a_{n+1}-1, a_{n}+1\}$. If $a_100 = 100$, what is the maximum possible value for $a_1$?",False,[]
46,1391,22,"Ehsan and Hesam are playing a game on a $3 \times 2$ board as shown in the figure. In this game, on their turn, each player can either place a piece in an empty cell or move one of their existing pieces to the cell to the right or above, provided that cell is empty. The loser is the first person who cannot make a move. Ehsan starts the game by placing a piece in one of the empty cells numbered 1 to 4. which place should he put the piece so that he wins? 
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/22.png}
    \caption{Caption}
    \label{fig:1391:22}
\end{figure}\\
1) 1
2) 2
3) 3
4) 4
5) In each of these four cases, Hesam can win.",True,['figures/1391/22.png']
47,1391,23,"Find the number of solutions to the equation below in natural numbers less than or equal to 100, with the condition $x\leq y$. 
\[
x^2 + y^2 = xy\times \gcd(x,y) + \text{lcm}(x,y)
\]
Here, $\gcd(x, y)$ denotes the greatest common divisor of $x$ and $y$, and $\text{lcm}(x, y)$ denotes the least common multiple of $x$ and $y$.",False,[]
48,1391,24,"In a polygon where a side does not intersect any other sides, we call a side ""baddy"" when it's adjacent sides are located on opposite sides of the line containing it. For example, in a pentagon, the sides $CD$ and $DE$ are the only ""baddy"" sides. What is the maximum number of such ""baddy"" sides that a polygon with $1391$ sides can have?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1391/24.png}
    \caption{Caption}
    \label{fig:1391:24}
\end{figure}
\\
On the surface of a sphere, 4 circles are drawn. Into how many regions can the surface of this sphere be divided at most? 

(1) 13 (2) 14 (3) 15 (4) 16 (5) 17
\\",True,['figures/1391/24.png']
49,1392,1,"Sina wants to plan a study schedule for the mathematics, literature, and physics books of the three years of high school in such a way that the books of each subject are studied in order of their level (for example, Physics 1 should be studied before Physics 2). In how many different ways can he study all the books?",False,[]
50,1392,2,What is the value of $x^6 + y^6$ if $x$ and $y$ are two real numbers such that $x^2 + y^2 = 40$ and $x + y = 6$?,False,[]
51,1392,3,"In the given figure, $M$ and $N$ are the midpoints of sides $AD$ and $BC$, respectively. What multiple of the area of the shaded quadrilateral is the area of rectangle $ABCD$ ?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/3.png}
    \caption{Caption}
    \label{fig:1392:3}
\end{figure}",False,['figures/1392/3.png']
52,1392,4,"Consider the function $f: \mathbb{R} \to \mathbb{R}$ whose graph is similar to the given figure. which of the following graphs is the shape of function $\frac{f(x)}{x-1}$? (In this case, the graph of the function is undefined at the point $x = 1$ for all options.)
\\
1)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/4-0.png}
    \caption{Caption}
    \label{fig:1392:4-0}
\end{figure}\\
2)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/4-1.png}
    \caption{Caption}
    \label{fig:1392:4-1}
\end{figure}\\
3)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/4-2.png}
    \caption{Caption}
    \label{fig:1392:4-2}
\end{figure}\\
4)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/4-3.png}
    \caption{Caption}
    \label{fig:1392:4-3}
\end{figure}\\
5)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/4-4.png}
    \caption{Caption}
    \label{fig:1392:4-4}
\end{figure}",True,"['figures/1392/4-0.png', 'figures/1392/4-1.png', 'figures/1392/4-2.png', 'figures/1392/4-3.png', 'figures/1392/4-4.png']"
53,1392,5,"We call a natural number ""small"" if it has at least three positive divisors and the sum of its smallest three positive divisors is equal to it. How many ""small"" numbers exist?

1) 0
2) 1
3) 2
4) 6
5) Infinity.",True,[]
54,1392,6,"In triangle $ABC$, point $D$ is located on side $BC$ such that angles $\angle BAD$ and $\angle CAD$ and $\angle ABC$ are equal, and the lengths of segments $BD$ and $DC$ are 1 and 2, respectively. What is the lenght of segment $AB$?

1) $\sqrt{2}$
2) $\sqrt{3}$
3) $\frac{\sqrt{6}}{3}$
4) $\frac{\sqrt{3}}{2}$
5) $\frac{\sqrt{6}}{2}$",True,[]
55,1392,7,"The sequence of natural numbers is defined as follows: \\
$a_0, a_1, a_2, \ldots$. \\
$a_0 = 1$; \\
$a_{n+1} = 13^{a_n} \quad (n \geq 0)$. \\
What is the units digit of $a_{1392}$?

1) 1
2) 3
3) 5
4) 7
5) 9",True,[]
56,1392,8,"Which option is correct regarding the following numbers?
$a = 100!$; $b = 2^{100}$; $c = 2^{2^{2^{2^{2}}}}$

1) $a<b<c$
2) $b<a<c$
3) $c<a<b$
4) $b<c<a$
5) $a<c<b$",True,[]
57,1392,9,"Suppose we color seven regions within this shape using three colors: blue, red, and green, such that adjacent regions have different colors (regions that only share a single point are not considered adjacent). In how many ways can this be done?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/9.png}
    \caption{Caption}
    \label{fig:1392:9}
\end{figure}",False,['figures/1392/9.png']
58,1392,10,"The Ministry of Roads and Urban Development has constructed a highway of length $2^19 = 524288$ meters between Zahedan and Mashhad. It intends to equip this highway with lighting in a long-term project. Every day, among the largest sections of the highway that have no lights, the section closest to Zahedan is chosen, and a light is installed at its midpoint. How many meters away from Mashhad is the 1001st light that is installed?",False,[]
59,1392,11,"If we have a calculator with the ability to display very large numbers, it consists of a display screen and buttons numbered from 1 to 9. By pressing each button, the number on the display screen is immediately multiplied by the number corresponding to that button, and the result is displayed in place of the previous number on the screen. If initially the number 1 is displayed on the screen, how many times must the multiplication buttons be used to obtain the number $2^{2014} \times 3^{1435} \times 5^{1392}$? (For example, it is possible to achieve $729$ with three uses of the multiplication button, because $9 \times 9 \times 9 = 729$.)",False,[]
60,1392,12,"How many of the following shapes can be folded to form a cube?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/12.png}
    \caption{Caption}
    \label{fig:1392:12}
\end{figure}",False,['figures/1392/12.png']
61,1392,13,"The quality of the first stage exam last year on the Iranian Mathematics Olympiad website www.mathysc.ir was described as ""very good,"" ""excellent,"" and ""couldn't be better."" Before Abbas registers his opinion on the website, the percentages for these options were 25, 50, and 25, respectively. After he registers his opinion, these percentages change to 24, 48, and 28. What was the number of opinions registered before Abbas registered his opinion? (The percentages are exact.)",False,[]
62,1392,14,"How many ordered pairs of prime numbers $(p, q)$ exist such that $p^2 - pq + q^2 = 37^2$?",False,[]
63,1392,15,Imagin $n$ is the smallest positive integer with 1392 positive divisors. How many prime factors does $n$ have?,False,[]
64,1392,16,"A shepherd ties his hungry sheep to three different trees in a lush pasture with three ropes. The sheep eats all the grass in the areas of the pasture it can reach. Which shape cannot be the area where the sheep has eaten all the grass?\\
1) one point.\\
2)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/16-2.png}
    \caption{Caption}
    \label{fig:1392:16-2}
\end{figure}\\
3)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/16-3.png}
    \caption{Caption}
    \label{fig:1392:16-3}
\end{figure}\\
4)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/16-4.png}
    \caption{Caption}
    \label{fig:1392:16-4}
\end{figure}\\
5)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.2\linewidth]{figures/1392/16-5.png}
    \caption{Caption}
    \label{fig:1392:16-5}
\end{figure}",True,"['figures/1392/16-2.png', 'figures/1392/16-3.png', 'figures/1392/16-4.png', 'figures/1392/16-5.png']"
65,1392,17,"In a military camp, 1196 soldiers are standing in 13 rows of 92 soldiers each in an orderly manner. If the last soldier from the last row looks along the line connecting him to the first soldier of the first row, how many soldiers does he see? (Assume the soldiers are points.)",False,[]
66,1392,18,"On lines parallel to the sides of triangle $ABC$, as shown in the figure, we draw triangle $A'B'C'$ such that its perimeter is half the perimeter of $ABC$. The length of $AB$ is how many time of the length $AD$?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/18.png}
    \caption{Caption}
    \label{fig:1392:18}
\end{figure}",False,['figures/1392/18.png']
67,1392,19,Let $S$ be the set of all real numbers $a$ for which there exist real numbers $x$ and $y$ such that $a(a - 1) + x(x - 1) + y(y - 1) = \frac{3}{2}$. We know that $S$ is an interval. What is the length of this interval?,False,[]
68,1392,20,"The orthogonal projection of a planar quadrilateral in space onto the three coordinate planes is in the form of these shapes. What is the sum of the squares of the lengths of the diagonals of this quadrilateral?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/20.png}
    \caption{Caption}
    \label{fig:1392:20}
\end{figure}",False,['figures/1392/20.png']
69,1392,21,"How many ordered quadruples $(x, y, z, t)$ of real numbers can be found that satisfy the following equations?
\[
xy + yz + zx = t^2
\]
\[
yz + zt + ty = x^2
\]
\[
zt + tx + xz = y^2
\]
\[
tx + xy + yt = z^2
\]

1) 1
2) 5
3) 9
4) 25
5) Infinity.",True,[]
70,1392,22,"The Ministry of Oil has dug a channel between Bushehr and Ilam and intends to place a gas pipeline in it. The cross-section of the channel is in the shape of a part of a parabola, and the cross-section of the pipe is in the shape of a circle. (By parabola, we mean the graph of a quadratic polynomial.) If the width of the channel is $2$ meters and its depth is $4$ meters, what is the radius of the largest pipe that can be placed in the channel such that it touches the bottommost point of the channel? (The proportions in the figure are not accurate.)
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/22.png}
    \caption{Caption}
    \label{fig:1392:22}
\end{figure}",False,['figures/1392/22.png']
71,1392,23,"In triangle $ABC$, the lengths of the sides $AB$, $AC$, and $BC$ are $2$, $4$, and $\sqrt{7}$, respectively. A line parallel to inner angle bisector of $\hat{A}$ is drawn through point $B$, and it intersects the line that connects the midpoints of $AB$ and $AC$ at point $D$. What is the length of $AD$?",False,[]
72,1392,24,"Pahlevan Puriya Vali has asked Yavar to move 9 mils of the Zurkhaneh from the points represented by hollow circles to the points represented by solid circles, such that the sum of the distances of the 9 pairs of initial and final points is maximized. (Note that at each point, one mil is placed.) In this case, to which points should the mils $c$, $b$, and $a$ be transferred?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/24.png}
    \caption{Caption}
    \label{fig:1392:24}
\end{figure}\\
1) 2, 3, 5
2) 8, 7, 5
3) 8, 7, 9
4) 4, 7, 5
5) It has severeal awnsers.",True,['figures/1392/24.png']
73,1392,25,"The only thief of Shakrestan has been pursued by the Shakrestan police for two years. According to the police investigations, the number of his trips between Shakrestan and the 4 neighboring cities has been as follows (for example, this thief has made three trips from Eastern Namakestan to Shakrestan). In which city is he hiding now?
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1392/25.png}
    \caption{Caption}
    \label{fig:1392:25}
\end{figure}\\
1) Shakrestan
2) East Namakestan
3) West Namakestan
4) North Namakestan
5) South Namakestan
\\",True,['figures/1392/25.png']
74,1393,1,"In the Zanjan-Tabriz highway, from 8 AM to 10 AM, 2370 vehicles have passed through the toll. These vehicles, in total, consumed 18320 liters of gasoline, and all of them were either single-occupant or two-occupant vehicles. We know that each single-occupant vehicle consumed 7 liters of gasoline on the route, and each two-occupant vehicle consumed 8 liters of gasoline on this route. How many single-occupant vehicles were there in total?\\
1) 320 \quad 2) 480 \quad 3) 640 \quad 4) 1050 \quad 5) 1185",True,[]
75,1393,2,"In an isosceles triangle $ABC$, where $AB = AC$, points $X$ and $Y$ are on the line segment $AC$ such that $BY = AX = BX$ and $X$ is between $A$ and $Y$. If $\angle YBC = 10^\circ$, what is the measure of $\angle BAC$?\\
1) $\frac{95}{3}^\circ$ \quad
2) $38^\circ$ \quad 3) $40^\circ$ \quad 4) $41^\circ$ \quad  5) $\frac{185}{4}^\circ$",True,[]
76,1393,3,"What is the value of $xy$? $x$ and $y$ are two real numbers such that $3^{- y} = 2$ and $2^{x + 1} = 18$.\\
1) -2 \quad 2) -1 \quad 3) 2 \quad 4) $-\frac{1}{2}$ \quad 5) $\frac{1}{2}$",True,[]
77,1393,4,"How many natural number $a$ is there such that 
$a^{a^{a^{\cdot^{\cdot^{\cdot^{a}}}}}}$
(with $a$ repeated $a$ times) is a perfect square and $a$ is less than 1393? \\ 
(1) 37 \quad (2) 696 \quad (3) 715 \quad (4) 733 \quad (5) 734",True,[]
